band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,species_scientific_name
B97995390779,B97995390779,,B,8/20/2015,20,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,14,1,4,P8988788,0,,,,,,B,Anas platyrhynchos
B97995390779,B97995390779,,E,11/21/2016,21,11,2016,US,US-WI,43.45138,-88.63121,0,41,Mallard,1320,,,,,,,1,21,7,4,2.42,E,Anas platyrhynchos
B97995397019,B97995397019,,B,8/20/2015,20,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,14,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995397019,B97995397019,,E,8/24/2015,24,8,2015,US,US-WI,43.57444,-88.62722,0,41,Mallard,1320,3,0,2,5,P8988788,,66,23,14,7,0.17,R,Anas platyrhynchos
B97995397173,B97995397173,,B,8/6/2015,6,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995397173,B97995397173,,E,10/3/2015,3,10,2015,US,US-WI,44.02471,-88.55265,11,41,Mallard,1320,,,,,,,1,21,7,5,0.33,E,Anas platyrhynchos
B97995397259,B97995397259,,B,8/5/2015,5,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995397259,B97995397259,,E,8/20/2015,20,8,2015,US,US-WI,43.57444,-88.62722,0,41,Mallard,1320,3,0,2,5,P8988788,,66,23,14,7,0.17,R,Anas platyrhynchos
B97995397305,B97995397305,,B,8/5/2015,5,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995397305,B97995397305,,E,12/6/2015,6,12,2015,US,US-WI,42.90132,-89.58393,0,41,Mallard,1320,,,,,,,1,21,7,5,0.5,E,Anas platyrhynchos
B97995397375,B97995397375,,B,8/5/2015,5,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995397375,B97995397375,,E,8/20/2015,20,8,2015,US,US-WI,43.57444,-88.62722,0,41,Mallard,1320,3,0,2,5,P8988788,,66,23,14,7,0.17,R,Anas platyrhynchos
B97995397655,B97995397655,,B,8/24/2015,24,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995397655,B97995397655,,E,8/26/2015,26,8,2015,US,US-WI,43.57444,-88.62722,0,41,Mallard,1320,3,0,2,5,P8988788,,66,23,14,7,0.17,R,Anas platyrhynchos
B97995397709,B97995397709,,B,8/24/2015,24,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
