"isoscape","species","CVsubset","odds","CVrep","accuracy","precision","n.accurate","n.innaccurate"
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.692307692307692,0.414153683693593,99,44
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.699300699300699,0.377155289329373,100,43
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.657342657342657,0.405764865327847,94,49
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.713286713286713,0.421918271434957,102,41
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.657342657342657,0.357974494252449,94,49
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.671328671328671,0.355532920324138,96,47
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.685314685314685,0.367198964532821,98,45
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.72027972027972,0.458401445040566,103,40
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.608391608391608,0.339563306417468,87,56
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.671328671328671,0.317427855874314,96,47
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.622377622377622,0.429784366704729,89,54
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.699300699300699,0.408995389873951,100,43
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.692307692307692,0.474602637119791,99,44
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.622377622377622,0.386451769996475,89,54
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.629370629370629,0.376597675845184,90,53
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.629310344827586,0.291548432792695,73,43
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.620689655172414,0.270356732103552,72,44
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.663793103448276,0.325913887928727,77,39
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.681034482758621,0.269422323508124,79,37
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.689655172413793,0.259047366194386,80,36
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.706896551724138,0.323274001290338,82,34
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.698275862068966,0.248384993013893,81,35
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.663793103448276,0.274468904007343,77,39
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.646551724137931,0.285599039719139,75,41
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.577586206896552,0.278312453908513,67,49
"d2h_GS","mall/wodu",0.5,0.666666666666667,25,0.568965517241379,0.246968605538451,66,50
