id,species,new_sample,latitude,longitude,gs_correct,ma_correct,correct
LW20004,wodu,0,44.705764,-89.906362,1,1,Correct by both eq.
LW20001,wodu,0,44.705764,-89.906362,1,1,Correct by both eq.
LW20002,wodu,0,44.705764,-89.906362,1,1,Correct by both eq.
LW20012,wodu,0,44.075795,-90.359338,1,0,GS only correct
LW20011,wodu,0,44.705764,-89.906362,1,1,Correct by both eq.
LW20010,wodu,0,44.705764,-89.906362,1,1,Correct by both eq.
LW20005,wodu,0,44.705764,-89.906362,1,1,Correct by both eq.
LW21005,wodu,0,44.703484,-89.819242,1,0,GS only correct
LW21006,wodu,0,44.703484,-89.819242,1,1,Correct by both eq.
LW21008,wodu,0,43.36097,-91.18087,1,1,Correct by both eq.
LW21009,wodu,0,43.36097,-91.18087,1,0,GS only correct
LW21010,wodu,0,43.36097,-91.18087,1,1,Correct by both eq.
LW21011,wodu,0,43.36097,-91.18087,1,1,Correct by both eq.
WI-23-5,wodu,1,42.813929,-88.209663,0,0,Neither eq. correct
WI-23-6,wodu,1,42.813929,-88.209663,0,0,Neither eq. correct
WI-23-9,wodu,1,42.63338,-88.159521,0,0,Neither eq. correct
WI-23-78,wodu,1,43.867819,-91.307089,1,1,Correct by both eq.
WI-23-79,wodu,1,43.867819,-91.307089,1,1,Correct by both eq.
WI-23-80,wodu,1,43.867819,-91.307089,1,1,Correct by both eq.
WI-23-81,wodu,1,43.867819,-91.307089,0,0,Neither eq. correct
WI-23-83,wodu,1,42.820537,-91.078066,1,1,Correct by both eq.
WI-23-85,wodu,1,42.820537,-91.078066,0,0,Neither eq. correct
WI-23-86,wodu,1,43.36097,-91.18087,0,0,Neither eq. correct
WI-23-87,wodu,1,44.11563,-91.703139,1,1,Correct by both eq.
WI-23-88,wodu,1,44.11563,-91.703139,1,1,Correct by both eq.
WI-23-89,wodu,1,44.11563,-91.703139,1,0,GS only correct
WI-23-90,wodu,1,44.11563,-91.703139,1,1,Correct by both eq.
MN052,rndu,0,47.67888889,-95.09861111,0,0,Neither eq. correct
MN053,rndu,0,47.67888889,-95.09861111,0,0,Neither eq. correct
MN054,rndu,0,47.67250000000001,-95.52499999999999,1,1,Correct by both eq.
MN055,rndu,0,47.67250000000001,-95.52499999999999,0,0,Neither eq. correct
MN057,rndu,0,47.69222222000001,-95.52527778,1,1,Correct by both eq.
MN058,rndu,0,47.69222222000001,-95.52527778,1,1,Correct by both eq.
MN059,rndu,0,47.64166666999999,-95.24444444000002,0,0,Neither eq. correct
MN061,rndu,0,47.26861111000001,-93.75472222,1,1,Correct by both eq.
MN062,rndu,0,47.26861111000001,-93.75472222,1,1,Correct by both eq.
MN063,rndu,0,47.394444439999994,-95.29472222000001,1,1,Correct by both eq.
MN064,rndu,0,47.394444439999994,-95.29472222000001,1,1,Correct by both eq.
MN066,rndu,0,47.53138889,-94.28750000000001,0,0,Neither eq. correct
MN067,rndu,0,47.309722220000005,-93.77527778,1,1,Correct by both eq.
MN068,rndu,0,47.309722220000005,-93.77527778,1,1,Correct by both eq.
MN069,rndu,0,47.309722220000005,-93.77527778,1,1,Correct by both eq.
MN070,rndu,0,47.68,-96.01111111,1,1,Correct by both eq.
MN072,rndu,0,47.75,-94.25805556,1,1,Correct by both eq.
MN074,rndu,0,47.75,-94.25805556,1,1,Correct by both eq.
MN075,rndu,0,48.491666669999994,-95.89305556000001,1,1,Correct by both eq.
MN078,rndu,0,47.675000000000004,-95.00833332999999,1,1,Correct by both eq.
MN079,rndu,0,47.87305556,-94.3425,1,1,Correct by both eq.
1256-09346,rndu,1,47.916666667,-94.416666667,1,1,Correct by both eq.
1256-09347,rndu,1,47.916666667,-94.416666667,1,1,Correct by both eq.
1256-09349,rndu,1,47.916666667,-94.416666667,1,1,Correct by both eq.
1256-09353,rndu,1,47.916666667,-94.416666667,1,1,Correct by both eq.
1256-09358,rndu,1,47.583333333,-94.583333333,1,1,Correct by both eq.
1256-09359,rndu,1,47.75,-94.258055556,1,1,Correct by both eq.
1256-09360,rndu,1,47.25,-93.75,1,1,Correct by both eq.
1256-09362,rndu,1,47.25,-93.75,1,1,Correct by both eq.
1256-09363,rndu,1,47.25,-93.75,1,1,Correct by both eq.
1256-09365,rndu,1,46.916666667,-94.083333333,1,1,Correct by both eq.
1256-09368,rndu,1,47.675,-95.525,1,1,Correct by both eq.
1256-09369,rndu,1,47.675,-95.525,1,1,Correct by both eq.
1256-09374,rndu,1,47.618055556,-94.801388889,1,1,Correct by both eq.
1256-09377,rndu,1,47.618055556,-94.801388889,1,1,Correct by both eq.
